Model,Accuracy (%),Top-5 Accuracy (%),Macro F1 Score,Configuration,Train Time (min)
ResNet-18,94.09,99.0,0.903,"img=224, ep=10, lr=0.0001, opt=adam, aug=False",2.6
ResNet-18,93.86,99.23,0.911,"img=128, ep=10, lr=0.001, opt=adam, aug=False",1.4
ResNet-18,93.47,98.39,0.904,"img=128, ep=5, lr=0.001, opt=adamw, aug=False",0.7
ResNet-18,93.39,98.92,0.893,"img=224, ep=10, lr=0.0001, opt=adamw, aug=False",2.6
ResNet-18,93.32,98.54,0.9,"img=128, ep=5, lr=0.001, opt=adamw, aug=True",0.7
ResNet-18,93.24,98.62,0.906,"img=128, ep=10, lr=0.001, opt=adamw, aug=True",1.5
ResNet-18,93.16,98.77,0.899,"img=128, ep=10, lr=0.001, opt=adamw, aug=False",1.4
ResNet-18,93.09,98.62,0.9,"img=128, ep=10, lr=0.001, opt=adam, aug=True",1.4
ResNet-18,92.63,98.77,0.885,"img=224, ep=10, lr=0.0001, opt=adam, aug=True",2.8
ResNet-18,92.24,98.85,0.889,"img=128, ep=5, lr=0.001, opt=adam, aug=True",0.8
ResNet-18,91.94,98.69,0.874,"img=224, ep=10, lr=0.0001, opt=adamw, aug=True",2.7
ResNet-18,91.47,97.85,0.871,"img=128, ep=10, lr=0.0001, opt=adamw, aug=False",1.5
ResNet-18,90.63,97.62,0.856,"img=128, ep=10, lr=0.0001, opt=adam, aug=False",1.4
ResNet-18,90.48,98.23,0.842,"img=224, ep=10, lr=0.001, opt=sgd, aug=False",2.6
ResNet-18,89.48,98.08,0.831,"img=224, ep=10, lr=0.001, opt=sgd, aug=True",2.7
ResNet-18,88.71,97.24,0.827,"img=128, ep=10, lr=0.001, opt=sgd, aug=False",1.4
ResNet-18,88.56,97.31,0.829,"img=128, ep=10, lr=0.0001, opt=adamw, aug=True",1.5
ResNet-18,88.25,97.62,0.819,"img=128, ep=10, lr=0.0001, opt=adam, aug=True",1.5
ResNet-18,86.87,97.16,0.776,"img=224, ep=5, lr=0.0001, opt=adamw, aug=False",1.3
